# AGC输入 → ADC输入 → 检波器校准数据 (2026-08-01)
#
# Vin1 = AGC输入端峰峰值 (mVpp) — 信号发生器→加法器→滤波器→AGC输入
# Vin2 = ADC输入端峰峰值 (mVpp) — 经过偏置电路后
# G_eff = Vin2/Vin1 — 含偏置电路的有效增益
# Vd = 检波器直流输出 (mV)
#
# 拟合: G_eff = 578.79941 - 1.47807*Vd + 0.00095826*Vd²
# R² = 0.99976, MAE = 0.222
# 偏置电路衰减 ~0.1% (可忽略)

Vin1_AGC_input_mV, Vin2_ADC_input_mV, G_eff, Vd_mV
52.1, 3150, 60.46065, 538.8
52.4, 3150, 60.11450, 539.1
52.4, 3150, 60.11450, 539.7
53.1, 3150, 59.32203, 541.2
53.2, 3150, 59.21053, 541.3
52.0, 3150, 60.57692, 539.0
49.6, 3150, 63.50806, 533.0
93.3, 3075, 32.95820, 613.9
93.8, 3075, 32.78252, 614.2
94.0, 3075, 32.71277, 614.8
95.1, 3075, 32.33438, 616.3
95.2, 3075, 32.30042, 616.3
93.4, 3075, 32.92291, 614.1
88.3, 3075, 34.82446, 607.5
134.4, 3030, 22.54464, 651.3
135.2, 3030, 22.41124, 651.5
135.6, 3030, 22.34513, 651.9
137.6, 3030, 22.02035, 653.1
137.2, 3030, 22.08455, 653.0
134.4, 3030, 22.54464, 651.2
127.0, 3030, 23.85827, 645.9
175.7, 3014, 17.15424, 676.2
175.7, 3014, 17.15424, 676.5
177.4, 3014, 16.98985, 677.0
179.4, 3014, 16.80045, 678.2
179.6, 3014, 16.78174, 678.2
175.4, 3014, 17.18358, 676.2
166.5, 3014, 18.10210, 670.6
217.0, 3014, 13.88940, 698.3
217.0, 3014, 13.88940, 698.6
218.0, 3014, 13.82569, 699.0
222.0, 3014, 13.57658, 700.5
222.0, 3014, 13.57658, 700.3
217.0, 3014, 13.88940, 698.0
203.0, 3014, 14.84729, 691.5
258.0, 3000, 11.62791, 719.6
258.0, 3000, 11.62791, 720.0
260.0, 3000, 11.53846, 720.5
264.0, 3000, 11.36364, 722.2
264.0, 3000, 11.36364, 722.0
258.0, 3000, 11.62791, 719.3
244.0, 3000, 12.29508, 711.8
