# 总增益校准数据 (2026-08-01, 滤波器移除)
# 信号链: 信号发生器 -> 加法器 -> AGC -> 直流偏置 -> ADC
# Vpp_set = 信号发生器设定峰峰值 (mVpp)
# Freq = 信号频率 (Hz)
# V_adc = ADC输入端峰峰值 (mVpp)
# Vd = 检波器直流输出 (mV)
# G_total = V_adc / Vpp_set (总增益)
# 拟合: G_total = a0 + a1*Vd + a2*Vd^2 + a3*fn + a4*fn*Vd
# fn = (f - 10000) / 490000
# R^2 = 0.9984
#
Vpp_set,Freq,V_adc,Vd,G_total
50,10000,3004,540.0,60.0800
50,50000,3004,540.5,60.0800
50,100000,3004,540.2,60.0800
50,200000,3003,539.0,60.0600
50,300000,3002,535.0,60.0400
50,400000,3003,530.0,60.0600
50,500000,3004,522.4,60.0800
70,10000,3004,582.7,42.9143
70,50000,3004,582.8,42.9143
70,100000,3004,582.6,42.9143
70,200000,3004,581.5,42.9143
70,300000,3020,577.1,43.1429
70,400000,3038,570.2,43.4000
70,500000,3055,561.3,43.6429
90,10000,3020,613.7,33.5556
90,50000,2983,613.7,33.1444
90,100000,2983,613.5,33.1444
90,200000,3000,612.8,33.3333
90,300000,3016,609.5,33.5111
90,400000,3033,603.8,33.7000
90,500000,3055,595.5,33.9444
110,10000,2994,634.3,27.2182
110,50000,2973,634.3,27.0273
110,100000,2973,634.2,27.0273
110,200000,3000,633.9,27.2727
110,300000,3000,631.4,27.2727
110,400000,3016,627.0,27.4182
110,500000,3044,620.3,27.6727
130,10000,2983,650.0,22.9462
130,50000,2957,649.9,22.7462
130,100000,2973,649.9,22.8692
130,200000,2980,649.8,22.9231
130,300000,3006,648.0,23.1231
130,400000,3023,644.2,23.2538
130,500000,3023,638.5,23.2538
150,10000,2973,663.2,19.8200
150,50000,2973,663.3,19.8200
150,100000,2957,663.2,19.7133
150,200000,2974,663.1,19.8267
150,300000,2990,661.5,19.9333
150,400000,3006,658.1,20.0400
150,500000,3024,652.7,20.1600
170,10000,2974,674.7,17.4941
170,50000,2957,674.7,17.3941
170,100000,2960,674.3,17.4118
170,200000,2974,674.6,17.4941
170,300000,2990,673.4,17.5882
170,400000,3007,670.1,17.6882
170,500000,3024,664.6,17.7882
190,10000,2974,685.5,15.6526
190,50000,2965,685.5,15.6053
190,100000,2974,685.6,15.6526
190,200000,2973,685.9,15.6474
190,300000,2990,684.8,15.7368
190,400000,3006,681.6,15.8211
190,500000,3023,676.0,15.9105
210,10000,2973,696.0,14.1571
210,50000,2965,696.0,14.1190
210,100000,2973,696.0,14.1571
210,200000,2973,696.4,14.1571
210,300000,2990,695.6,14.2381
210,400000,3006,692.3,14.3143
210,500000,3023,686.5,14.3952
230,10000,2973,706.8,12.9261
230,50000,2973,706.8,12.9261
230,100000,2973,706.9,12.9261
230,200000,2973,707.4,12.9261
230,300000,2990,706.8,13.0000
230,400000,3006,703.5,13.0696
230,500000,3023,697.4,13.1435
250,10000,2973,717.4,11.8920
250,50000,2973,717.5,11.8920
250,100000,2973,717.6,11.8920
250,200000,2973,718.2,11.8920
250,300000,2990,717.7,11.9600
250,400000,3006,714.5,12.0240
250,500000,3023,708.2,12.0920
