Vpp_set_mV,freq_hz,Vd_mV,Vadc_mV,G_true,G_pred,Vpp_recovered_mV,Vpp_err_pct
50,10000,566.8,3030,60.600000,60.160905,50.365,0.7299
50,50000,566.9,3025,60.500000,60.226905,50.227,0.4534
50,100000,566.5,3020,60.400000,60.365336,50.029,0.0574
50,150000,566.5,3020,60.400000,60.131777,50.223,0.4461
50,200000,565.4,3010,60.200000,60.183894,50.013,0.0268
50,250000,563.8,3010,60.200000,60.252836,49.956,-0.0877
50,300000,561.7,3020,60.400000,60.332404,50.056,0.1120
50,350000,559.3,3020,60.400000,60.327712,50.060,0.1198
50,400000,556.4,3020,60.400000,60.316868,50.069,0.1378
50,450000,553.3,3020,60.400000,60.159304,50.200,0.4001
50,500000,549.7,3020,60.400000,59.973003,50.356,0.7120
70,10000,608.3,3030,43.285714,43.457674,69.723,-0.3957
70,50000,608.1,3020,43.142857,43.638555,69.205,-1.1359
70,100000,608.0,3020,43.142857,43.672065,69.152,-1.2118
70,150000,608.2,3020,43.142857,43.443486,69.516,-0.6920
70,200000,607.0,3030,43.285714,43.565743,69.550,-0.6428
70,250000,605.2,3040,43.428571,43.743889,69.495,-0.7208
70,300000,602.5,3056,43.657143,44.079503,69.329,-0.9582
70,350000,599.8,3056,43.657143,44.240612,69.077,-1.3189
70,400000,596.1,3056,43.657143,44.577436,68.555,-2.0645
70,450000,592.0,3056,43.657143,44.862940,68.119,-2.6877
70,500000,587.3,3060,43.714286,45.156098,67.765,-3.1930
90,10000,638.7,3040,33.777778,33.265014,91.387,1.5415
90,50000,638.9,3023,33.588889,33.310275,90.753,0.8364
90,100000,638.7,3030,33.666667,33.394795,90.733,0.8141
90,150000,639.0,3030,33.666667,33.204475,91.253,1.3920
90,200000,638.0,3040,33.777778,33.285587,91.331,1.4787
90,250000,636.9,3040,33.777778,33.268857,91.377,1.5297
90,300000,635.0,3056,33.955556,33.359564,91.608,1.7866
90,350000,632.6,3056,33.955556,33.459213,91.335,1.4834
90,400000,629.6,3073,34.144444,33.588044,91.491,1.6565
90,450000,625.9,3073,34.144444,33.764147,91.014,1.1263
90,500000,621.5,3073,34.144444,33.974152,90.451,0.5012
110,10000,659.3,3030,27.545455,27.340108,110.826,0.7511
110,50000,659.3,3023,27.481818,27.445707,110.145,0.1316
110,100000,659.2,3023,27.481818,27.513151,109.875,-0.1139
110,150000,659.5,3030,27.545455,27.372492,110.695,0.6319
110,200000,658.9,3030,27.545455,27.368616,110.711,0.6461
110,250000,658.0,3040,27.636364,27.337812,111.201,1.0921
110,300000,656.7,3056,27.781818,27.301244,111.936,1.7603
110,350000,654.7,3056,27.781818,27.328939,111.823,1.6571
110,400000,652.3,3073,27.936364,27.333894,112.425,2.2041
110,450000,649.4,3073,27.936364,27.331068,112.436,2.2147
110,500000,645.9,3080,28.000000,27.332815,112.685,2.4410
130,10000,674.8,3030,23.307692,23.405040,129.459,-0.4159
130,50000,674.9,3023,23.253846,23.485947,128.715,-0.9883
130,100000,674.8,3023,23.253846,23.563730,128.290,-1.3151
130,150000,675.1,3030,23.307692,23.460863,129.151,-0.6529
130,200000,674.7,3040,23.384615,23.437476,129.707,-0.2255
130,250000,674.0,3040,23.384615,23.395155,129.941,-0.0451
130,300000,672.9,3056,23.507692,23.352309,130.865,0.6654
130,350000,671.3,3056,23.507692,23.324749,131.020,0.7843
130,400000,669.3,3073,23.638462,23.280976,131.996,1.5355
130,450000,666.8,3073,23.638462,23.233017,132.269,1.7451
130,500000,663.8,3080,23.692308,23.168388,132.940,2.2614
150,10000,687.7,3040,20.266667,20.472473,148.492,-1.0053
150,50000,687.8,3023,20.153333,20.555161,147.068,-1.9549
150,100000,687.8,3023,20.153333,20.620055,146.605,-2.2634
150,150000,688.2,3023,20.153333,20.527504,147.266,-1.8228
150,200000,687.9,3030,20.200000,20.511023,147.725,-1.5164
150,250000,687.4,3040,20.266667,20.461402,148.572,-0.9517
150,300000,686.4,3056,20.373333,20.436286,149.538,-0.3080
150,350000,685.1,3056,20.373333,20.388076,149.892,-0.0723
150,400000,683.2,3073,20.486667,20.368569,150.870,0.5798
150,450000,680.1,3073,20.486667,20.482233,150.032,0.0216
150,500000,678.1,3073,20.486667,20.271877,151.589,1.0595
170,10000,699.5,3030,17.823529,18.062389,167.752,-1.3224
170,50000,699.5,3030,17.823529,18.166022,166.795,-1.8853
170,100000,699.6,3030,17.823529,18.221626,166.286,-2.1847
170,150000,699.9,3023,17.782353,18.178838,166.292,-2.1810
170,200000,699.7,3040,17.882353,18.170678,167.303,-1.5868
170,250000,699.3,3040,17.882353,18.137455,167.609,-1.4065
170,300000,698.5,3056,17.976471,18.112187,168.726,-0.7493
170,350000,697.2,3056,17.976471,18.106082,168.783,-0.7158
170,400000,695.4,3073,18.076471,18.109973,169.686,-0.1850
170,450000,693.1,3080,18.117647,18.113059,170.043,0.0253
170,500000,690.2,3073,18.076471,18.119553,169.596,-0.2378
190,10000,710.5,3030,15.947368,16.050114,188.784,-0.6402
190,50000,710.5,3023,15.910526,16.153210,187.145,-1.5024
190,100000,710.6,3030,15.947368,16.220216,186.804,-1.6821
190,150000,711.1,3030,15.947368,16.170265,187.381,-1.3784
190,200000,710.9,3030,15.947368,16.190104,187.151,-1.4993
190,250000,710.5,3040,16.000000,16.192028,187.747,-1.1859
190,300000,709.9,3056,16.084211,16.172938,188.958,-0.5486
190,350000,708.6,3056,16.084211,16.206502,188.566,-0.7546
190,400000,706.8,3070,16.157895,16.250944,188.912,-0.5726
190,450000,704.4,3073,16.173684,16.310351,188.408,-0.8379
190,500000,701.5,3080,16.210526,16.356677,188.302,-0.8935
210,10000,720.6,3050,14.523810,14.401667,211.781,0.8481
210,50000,720.7,3023,14.395238,14.488896,208.643,-0.6464
210,100000,720.7,3030,14.428571,14.581746,207.794,-1.0505
210,150000,721.3,3030,14.428571,14.545049,208.318,-0.8008
210,200000,721.2,3040,14.476190,14.575666,208.567,-0.6825
210,250000,721.0,3040,14.476190,14.581154,208.488,-0.7199
210,300000,720.4,3056,14.552381,14.601715,209.290,-0.3379
210,350000,719.2,3066,14.600000,14.658191,209.166,-0.3970
210,400000,717.4,3073,14.633333,14.740338,208.476,-0.7259
210,450000,714.9,3083,14.680952,14.849214,207.620,-1.1331
210,500000,711.9,3083,14.680952,14.945142,206.288,-1.7677
230,10000,731.2,3040,13.217391,12.876699,236.085,2.6458
230,50000,731.2,3030,13.173913,12.978782,233.458,1.5035
230,100000,731.3,3030,13.173913,13.067247,231.877,0.8163
230,150000,732.0,3040,13.217391,13.049184,232.965,1.2890
230,200000,731.9,3040,13.217391,13.108551,231.910,0.8303
230,250000,731.7,3045,13.239130,13.151616,231.530,0.6654
230,300000,731.3,3050,13.260870,13.188656,231.259,0.5475
230,350000,730.0,3056,13.286957,13.296686,229.832,-0.0732
230,400000,728.2,3073,13.360870,13.417250,229.034,-0.4202
230,450000,725.6,3083,13.404348,13.572265,227.154,-1.2372
230,500000,722.5,3090,13.434783,13.714520,225.309,-2.0397
250,10000,741.5,3050,12.200000,11.596096,263.020,5.2078
250,50000,741.6,3030,12.120000,11.686210,259.280,3.7120
250,100000,741.6,3030,12.120000,11.796818,256.849,2.7396
250,150000,742.4,3040,12.160000,11.800363,257.619,3.0477
250,200000,742.3,3040,12.160000,11.887673,255.727,2.2908
250,250000,742.3,3045,12.180000,11.946468,254.887,1.9548
250,300000,742.0,3050,12.200000,12.017545,253.796,1.5182
250,350000,741.0,3056,12.224000,12.134102,251.852,0.7409
250,400000,739.1,3073,12.292000,12.302989,249.777,-0.0893
250,450000,736.4,3083,12.332000,12.500413,246.632,-1.3473
250,500000,733.0,3090,12.360000,12.702583,243.258,-2.6970
